number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
48,0.7214055689780587,2026-05-25 17:42:37.675859,2026-05-25 17:43:38.047468,0 days 00:01:00.371609,128,4,0.0003218296478956604,32,60.254259819000254,1.0,1.0,COMPLETE
49,0.30800616177329215,2026-05-25 17:43:38.066324,2026-05-25 17:44:47.647481,0 days 00:01:09.581157,128,4,0.0009844015221510296,80,69.46948088800036,1.0,1.0,COMPLETE
50,0.30111593075847237,2026-05-25 17:44:47.665511,2026-05-25 17:45:11.849298,0 days 00:00:24.183787,384,5,0.0023629285198568653,32,24.080215092000344,1.0,1.0,COMPLETE
51,0.3835295762566153,2026-05-25 17:45:11.868907,2026-05-25 17:46:20.038396,0 days 00:01:08.169489,128,4,0.0004471768522349706,48,68.05517047800004,1.0,1.0,COMPLETE
52,0.34784218349754026,2026-05-25 17:46:20.054478,2026-05-25 17:46:37.327092,0 days 00:00:17.272614,384,4,0.0028845560826405727,48,17.157685749000393,1.0,1.0,COMPLETE
53,0.34799891654636317,2026-05-25 17:46:37.346731,2026-05-25 17:47:28.785735,0 days 00:00:51.439004,256,4,0.002828711858089787,32,51.33093625099991,1.0,1.0,COMPLETE
54,0.734642988831782,2026-05-25 17:47:28.803779,2026-05-25 17:48:14.270507,0 days 00:00:45.466728,128,3,0.00012525352127677874,64,45.31194226499974,1.0,1.0,COMPLETE
55,0.37399822729536586,2026-05-25 17:48:14.287752,2026-05-25 17:49:56.473336,0 days 00:01:42.185584,128,5,0.0002860701966654161,80,102.0596780410001,1.0,1.0,COMPLETE
56,0.3159082055997107,2026-05-25 17:49:56.492687,2026-05-25 17:50:49.188753,0 days 00:00:52.696066,128,3,0.0029368968481811044,80,52.49635878200024,1.0,1.0,COMPLETE
57,0.769294271980766,2026-05-25 17:50:49.211400,2026-05-25 17:51:33.263872,0 days 00:00:44.052472,256,3,0.00014127155966518138,24,43.940368849999686,1.0,1.0,COMPLETE
58,0.30106698793864917,2026-05-25 17:51:33.282131,2026-05-25 17:52:15.536352,0 days 00:00:42.254221,256,3,0.002754825615288736,24,42.12651240900004,1.0,1.0,COMPLETE
59,0.34871855050395817,2026-05-25 17:52:15.555062,2026-05-25 17:53:29.612891,0 days 00:01:14.057829,128,4,0.0008175283565993479,80,73.94364109199978,1.0,1.0,COMPLETE
60,0.6574672028814122,2026-05-25 17:53:29.631040,2026-05-25 17:54:25.491949,0 days 00:00:55.860909,256,4,0.00011776632061848739,48,55.74568942900032,1.0,1.0,COMPLETE
61,0.291551397470257,2026-05-25 17:54:25.510154,2026-05-25 17:54:51.759495,0 days 00:00:26.249341,384,5,0.0028737774698654,24,26.14074502800031,1.0,1.0,COMPLETE
62,0.2865184924294455,2026-05-25 17:54:51.777656,2026-05-25 17:55:17.302442,0 days 00:00:25.524786,384,5,0.0015646442380951732,24,25.412344587000007,1.0,1.0,COMPLETE
