number,value,datetime_start,datetime_complete,duration,params_adaptive_beta,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
20,0.18862882037922718,2026-05-25 03:03:40.578509,2026-05-25 03:05:11.858764,0 days 00:01:31.280255,0.8677442218970851,128,5,0.0001936007511735314,32,91.14760642799956,2172.3566092761284,299.4812505335345,COMPLETE
21,0.25531887276222454,2026-05-25 03:05:11.881859,2026-05-25 03:05:41.363775,0 days 00:00:29.481916,0.8177783344919656,384,5,0.00033119366141597367,32,29.340153589000693,6347.826521526911,191.14260730619992,COMPLETE
22,0.15061434153469952,2026-05-25 03:05:41.387221,2026-05-25 03:06:13.981441,0 days 00:00:32.594220,0.9408176984181508,384,5,0.0007994547812006222,32,32.455166359999566,418.1366091209809,22.761958804476734,COMPLETE
23,0.1831579913190941,2026-05-25 03:06:14.004948,2026-05-25 03:08:04.214475,0 days 00:01:50.209527,0.7525028872026345,128,5,0.0006840501601543408,32,110.07237383500615,208.0033420951461,56.36585165148054,COMPLETE
24,0.15714602757506033,2026-05-25 03:08:04.236256,2026-05-25 03:08:38.330956,0 days 00:00:34.094700,0.9359192824258534,384,4,0.0011311907778871065,48,33.963638082001125,299.24417217364254,34.59450265553945,COMPLETE
25,0.14213554386467003,2026-05-25 03:08:38.353163,2026-05-25 03:09:12.079773,0 days 00:00:33.726610,0.9601996523282977,384,5,0.0010780757669201833,32,33.59387572100968,403.59848981140067,31.749263582944472,COMPLETE
26,0.1504194963836629,2026-05-25 03:09:12.101837,2026-05-25 03:10:46.031214,0 days 00:01:33.929377,0.9522577825782095,256,5,0.0015809673727377267,32,93.79773985200154,15553.654014907423,7872.147215630443,COMPLETE
27,0.2944804400511597,2026-05-25 03:10:46.053641,2026-05-25 03:11:25.963852,0 days 00:00:39.910211,0.9337047061061599,384,5,0.0017023526331150709,64,39.78739274700638,312592.7920010851,166724.29795943102,COMPLETE
28,0.15561594346703433,2026-05-25 03:11:25.984670,2026-05-25 03:12:51.828972,0 days 00:01:25.844302,0.9011183490220883,128,4,0.0016060364711917836,32,85.71915886100032,369.4061506891819,43.95203240847097,COMPLETE
29,0.14763160739709694,2026-05-25 03:12:51.851445,2026-05-25 03:13:27.860101,0 days 00:00:36.008656,0.7573399571790991,384,5,0.0007753986586930996,64,35.86926912100171,509.87937449716736,58.89136537969548,COMPLETE
30,0.4204742941873622,2026-05-25 03:13:27.883468,2026-05-25 03:15:04.344415,0 days 00:01:36.460947,0.771895027243662,256,5,0.0010478603031392028,80,96.2295267550071,605677.8027743789,295951.04178991955,COMPLETE
31,0.16622076326669555,2026-05-25 03:15:04.364916,2026-05-25 03:15:33.572205,0 days 00:00:29.207289,0.7745056844918851,384,4,0.0007592725523434154,64,29.067203821992734,521.7179934336319,35.140869878814215,COMPLETE
32,0.3589775262083278,2026-05-25 03:15:33.597646,2026-05-25 03:16:11.360789,0 days 00:00:37.763143,0.7703674612672388,384,5,0.00171869135811184,64,37.62641454100958,123118.14706498216,46001.090720006425,COMPLETE
33,0.16530266866804116,2026-05-25 03:16:11.383056,2026-05-25 03:16:48.420829,0 days 00:00:37.037773,0.7733677847111196,384,5,0.0004604417678905247,64,36.89261182000337,1095.0059190357488,202.70358353575102,COMPLETE
34,0.14557220703263224,2026-05-25 03:16:48.445522,2026-05-25 03:17:20.909597,0 days 00:00:32.464075,0.8056242337081952,384,5,0.0007815543124795424,48,32.32669849100057,199.28855230900788,18.110775121910617,COMPLETE
35,0.1763294129304521,2026-05-25 03:17:20.931845,2026-05-25 03:19:00.105999,0 days 00:01:39.174154,0.7553379822016736,256,5,0.0004029031309461478,48,99.03586423800152,1527.8672176852872,89.06535322068592,COMPLETE
36,0.3470593813783124,2026-05-25 03:19:00.127963,2026-05-25 03:21:05.618335,0 days 00:02:05.490372,0.7622833366636285,128,5,0.0012839631849970582,48,125.35378597899398,507549.32378336444,306206.3215584805,COMPLETE
37,0.15847330091143458,2026-05-25 03:21:05.639287,2026-05-25 03:21:40.584513,0 days 00:00:34.945226,0.8051850191027345,384,5,0.0009193094616074817,48,34.8063486609899,203.40466157423538,40.559061614519734,COMPLETE
